date,open_price,high_price,low_price,price,volume
2025-07-26,784.7856013546323,784.7856013546323,784.7856013546323,784.7856013546323,2074059703.484386
2025-07-27,794.2867236239222,794.2867236239222,794.2867236239222,794.2867236239222,892831867.5658532
2025-07-28,843.449638843771,843.449638843771,843.449638843771,843.449638843771,2256704380.679607
2025-07-29,822.2765976915088,822.2765976915088,822.2765976915088,822.2765976915088,3011452631.6826835
2025-07-30,805.1438193193468,805.1438193193468,805.1438193193468,805.1438193193468,2130673065.5019739
2025-07-31,793.8734614175534,793.8734614175534,793.8734614175534,793.8734614175534,1929266771.61827
2025-08-01,783.0023910772859,783.0023910772859,783.0023910772859,783.0023910772859,1662327372.5984204
2025-08-02,756.4574114847068,756.4574114847068,756.4574114847068,756.4574114847068,2187208851.563726
2025-08-03,736.6587769385911,736.6587769385911,736.6587769385911,736.6587769385911,937931586.0430179
2025-08-04,751.4001548118117,751.4001548118117,751.4001548118117,751.4001548118117,843114690.7269527
2025-08-05,768.5544340737234,768.5544340737234,768.5544340737234,768.5544340737234,1043307913.1061739
2025-08-06,754.7878000846929,754.7878000846929,754.7878000846929,754.7878000846929,1003756388.5618858
2025-08-07,769.8555506826906,769.8555506826906,769.8555506826906,769.8555506826906,990264468.5504694
2025-08-08,787.1948285374559,787.1948285374559,787.1948285374559,787.1948285374559,1091813946.3690848
2025-08-09,793.1777287850201,793.1777287850201,793.1777287850201,793.1777287850201,1187794735.3928044
2025-08-10,799.1991047067497,799.1991047067497,799.1991047067497,799.1991047067497,1105210829.293122
2025-08-11,804.8956334719561,804.8956334719561,804.8956334719561,804.8956334719561,1056685905.2138219
2025-08-12,806.8312185132748,806.8312185132748,806.8312185132748,806.8312185132748,1821705477.5453286
2025-08-13,834.446637547768,834.446637547768,834.446637547768,834.446637547768,1904274487.3355463
2025-08-14,849.5528663342336,849.5528663342336,849.5528663342336,849.5528663342336,2344964710.7509003
2025-08-15,842.2643191559952,842.2643191559952,842.2643191559952,842.2643191559952,3658447977.417383
2025-08-16,827.2916811192079,827.2916811192079,827.2916811192079,827.2916811192079,3425180338.790325
2025-08-17,839.0566611983465,839.0566611983465,839.0566611983465,839.0566611983465,1194989933.08169
